Latitude,Longitude,Stop Name,Stop Status
40.689307,-73.955094,BEDFORD AV/LAFAYETTE AV,at stop
40.675783,-73.94716,NEW YORK AV/BERGEN ST,at stop
40.691492,-73.951789,NOSTRAND AV/DE KALB AV,at stop
40.655134,-73.950035,NOSTRAND AV/CLARKSON AV,at stop
40.663683,-73.950952,NOSTRAND AV/EMPIRE BL,at stop
40.600778,-73.941957,NOSTRAND AV/AV U,at stop
40.593683,-73.940506,NOSTRAND AV/AV X,approaching
40.698874,-73.957,N/A,N/A
40.638551,-73.945348,NEW YORK AV/FOSTER AV,approaching
40.662683,-73.950846,NOSTRAND AV/LEFFERTS AV,approaching
40.688482,-73.954932,BEDFORD AV/LAFAYETTE AV,approaching
40.674894,-73.947244,NEW YORK AV/BERGEN ST,approaching
40.666506,-73.950815,NOSTRAND AV/MONTGOMERY ST,approaching
40.624984,-73.946535,NOSTRAND AV/AV J,< 1 stop away
40.669104,-73.950572,NOSTRAND AV/CARROLL ST,< 1 stop away
